Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Afghanistan,AFG,179.1,135.6,119,115.8,112.9,110.2,107.7,105.2,102.6,100,97.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Albania,ALB,40.5,26.1,20.4,19.5,18.7,17.9,17.2,16.5,15.9,15.4,14.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Algeria,DZA,47.1,39.6,33.6,32.1,30.7,29.5,28.4,27.4,26.6,25.8,25.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Andorra,ADO,8.5,4.6,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Angola,AGO,225.9,216.7,204.5,200.9,196.8,192.3,187.7,182.4,177.5,172.6,167.4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Antigua and Barbuda,ATG,25.5,15.4,12.4,11.9,11.4,11,10.6,10.3,9.9,9.6,9.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Argentina,ARG,27.6,20.2,17.1,16.4,15.8,15.4,15,14.6,14.2,13.7,13.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Armenia,ARM,49.7,30.1,23.4,22.2,21.1,20.1,19.1,18.1,17.2,16.4,15.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Australia,AUS,9.2,6.2,5.7,5.6,5.4,5.2,5,4.8,4.5,4.2,4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Austria,AUT,9.5,5.5,4.9,4.8,4.6,4.6,4.5,4.4,4.2,4,3.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Azerbaijan,AZE,94.5,74.1,51.7,48.5,45.7,43.2,40.9,38.9,37.2,35.6,34.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Bahamas, The",BHS,23.5,15.8,15.3,15.1,14.9,14.6,14.3,13.9,13.6,13.3,12.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bahrain,BHR,23,12.7,10.9,10.4,9.9,9.2,8.5,7.8,7.2,6.6,6.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bangladesh,BGD,143.7,88.1,66.9,63,59.3,55.7,52.3,49.1,46.1,43.4,41.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Barbados,BRB,18.1,16.4,16,15.7,15.4,15.1,15,14.8,14.7,14.6,14.4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belarus,BLR,16.6,14.4,9.4,8.7,7.9,7.2,6.6,6.1,5.6,5.2,4.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belgium,BEL,10,5.8,5,4.9,4.8,4.7,4.6,4.5,4.5,4.4,4.4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belize,BLZ,39.6,25.1,21.5,20.9,20.2,19.6,18.9,18.3,17.7,17.2,16.7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Benin,BEN,179.4,146,118.5,112.7,107.6,103.2,99.3,95.7,92.1,88.6,85.3
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bhutan,BTN,133.7,79.4,58.5,54.9,51.5,48.2,45.2,42.5,40.1,38,36.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bolivia,BOL,122.7,77.4,57.5,54.2,51.1,48.4,46.1,44,42.2,40.6,39.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bosnia and Herzegovina,BIH,18.3,9.2,8.2,8.2,8.2,8.1,7.8,7.5,7.2,6.9,6.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Botswana,BWA,49.5,85.1,63.5,59.2,58.2,57.6,55.4,52.4,50.7,47.8,46.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Brazil,BRA,61.5,32.9,22.9,21.4,20,18.6,17.4,16.3,15.3,14.5,13.7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Brunei Darussalam,BRN,12.2,9.5,9,9,9,9,9.1,9.3,9.4,9.7,9.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bulgaria,BGR,22.1,21.1,15.9,15,14.3,13.7,13.3,13,12.6,12.1,11.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Burkina Faso,BFA,202.2,185.8,158.5,149.7,140.4,131.1,122.2,114.4,107.8,102.4,97.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Burundi,BDI,170.8,148.9,119.3,113.2,107.9,102.4,97.7,93.6,89.7,86.1,82.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cabo Verde,CPV,63,35.3,27.7,27.9,28.2,28.3,28.2,27.8,27.3,26.7,26
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cambodia,KHM,117.5,110.5,63.6,57.9,53.4,49.5,46.4,43.8,41.6,39.7,37.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cameroon,CMR,136.4,151.2,125.8,121.3,117.1,112.9,108.9,104.4,100.8,97.3,94.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Canada,CAN,8.3,6.2,6.1,6,5.9,5.8,5.7,5.6,5.4,5.3,5.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Central African Republic,CAF,176.9,174.1,168.9,166.7,164.1,160.8,156.9,152.6,147.6,142.7,139.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Chad,TCD,214.7,190.7,177.9,175.3,172.4,169,164.8,160.4,156.1,151.8,147.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Chile,CHL,19.1,10.9,9.1,9,8.9,8.9,8.8,8.7,8.6,8.4,8.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,China,CHN,53.9,36.9,23.9,21.8,20,18.4,17.1,15.8,14.7,13.6,12.7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Colombia,COL,35.2,25.1,21.6,21,20.4,19.8,19.2,18.6,18,17.4,16.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Comoros,COM,125.4,101.3,97.4,95.4,93.1,90.8,88.2,85.5,82.8,80.2,77.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Congo, Dem. Rep.",ZAR,176,175.9,156,150.3,144.9,140,135.1,130.7,126.4,122.3,118.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Congo, Rep.",COG,92.2,121.4,94.9,87.1,79.5,72.3,65.7,60.1,55.7,52,49.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Costa Rica,CRI,16.9,13.1,10.4,10.4,10.4,10.2,10.1,10,10,9.8,9.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cote d'Ivoire,CIV,151.6,146.1,129.3,125.4,121.4,117,113.1,109.3,106.2,103,100
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Croatia,HRV,12.8,8.3,6.8,6.5,6.2,5.9,5.6,5.3,5,4.7,4.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cuba,CUB,13.3,8.4,6.8,6.5,6.3,6.3,6.5,6.8,6.9,6.6,6.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cyprus,CYP,11.1,6.5,4.8,4.6,4.3,4.2,4,3.9,3.8,3.7,3.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Czech Republic,CZE,14.6,6.6,5.2,5,4.7,4.5,4.3,4.1,3.9,3.8,3.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Denmark,DNK,8.9,5.6,4.9,4.7,4.5,4.3,4.2,4,3.8,3.7,3.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Djibouti,DJI,118.6,100.7,88.2,85.7,83.2,80.7,78.3,76.1,73.8,71.7,69.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Dominica,DMA,17.2,15.8,14.1,13.8,13.5,13.1,12.8,12.4,12.1,11.7,11.4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Dominican Republic,DOM,59.7,41.1,35.4,34.5,33.5,32.6,31.6,30.7,29.9,29,28.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ecuador,ECU,56.9,34.3,28.8,27.9,27.1,26.3,25.5,24.7,23.9,23.1,22.5
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Egypt, Arab Rep.",EGY,85.1,44.8,30.7,28.6,26.8,25.4,24.3,23.5,22.8,22.3,21.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,El Salvador,SLV,59.5,32.4,23.6,22.1,20.7,19.5,18.5,17.7,17,16.3,15.7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Equatorial Guinea,GNQ,184,142.4,123.4,119.8,116.1,112.8,109.1,105.6,102.3,99,95.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Eritrea,ERI,150.6,89.3,69.8,66.6,63.5,60.6,58,55.6,53.6,51.6,49.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Estonia,EST,20.2,11,7.3,6.6,6.1,5.5,5,4.5,4.1,3.7,3.4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ethiopia,ETH,205,145.5,109.5,101.5,94,87,80.8,75.6,71.3,67.6,64.4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Fiji,FJI,30,24.4,23,23.1,23.2,23.4,23.6,23.7,23.8,23.8,23.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Finland,FIN,6.7,4.3,3.8,3.6,3.5,3.3,3.2,3,2.9,2.7,2.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,France,FRA,9,5.4,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.2,4.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Gabon,GAB,92.7,84.6,76.4,74.2,71.7,68.7,66.1,63.5,60.6,57.8,56.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Gambia, The",GMB,169.8,119,98.4,94.6,91.1,87.8,84.6,81.7,79,76.4,73.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Georgia,GEO,47.3,35.7,24.6,22.6,20.8,19.2,17.7,16.4,15.1,14,13.1
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Germany,DEU,8.5,5.4,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ghana,GHA,128.2,101.3,88.3,87,86,85.2,84.2,83.2,81.7,80.2,78.4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Greece,GRC,12.5,7.8,5.5,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Grenada,GRD,22.2,15.9,14.4,14.1,13.8,13.5,13.2,12.8,12.5,12.2,11.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guatemala,GTM,80.6,50.7,41.4,39.8,38.2,36.9,35.7,34.5,33.2,32.1,31
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guinea,GIN,237.6,170.2,136.9,131.4,126.2,121.3,116.7,112.2,108.1,104.4,100.7
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guinea-Bissau,GNB,224.8,180.8,157.1,152.8,148.5,144.2,140,135.9,131.7,127.9,123.9
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guyana,GUY,61.2,48.7,44.4,43.6,42.8,41.9,40.8,39.8,38.7,37.6,36.6
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Haiti,HTI,144.6,104.4,89.7,87.4,85.2,83.1,81,174.4,77,75,72.8
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Honduras,HND,59.1,38.2,30.7,29.4,28.2,27,25.9,24.9,23.9,23,22.2
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Hungary,HUN,19,11.2,8.3,7.9,7.5,7.2,6.9,6.6,6.4,6.2,6.1
