Country_name,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015
Andorra,2.9,2.8,2.7,2.6,2.5,2.4,2.3,2.2,2.1,2.1
Afghanistan,82.3,80.4,78.6,76.8,75.1,73.4,71.7,69.9,68.1,66.3
Angola,119.4,117.1,114.7,112.2,109.6,106.8,104.1,101.4,98.8,96
Albania,17.4,16.7,16,15.4,14.8,14.3,13.8,13.3,12.9,12.5
Arab World,36.9,35.7,34.5,33.4,32.3,31.2,30.3,29.5,28.7,28
United Arab Emirates,8.2,8,7.8,7.6,7.3,7,6.7,6.4,6.1,5.9
Argentina,14.6,14.1,13.7,13.4,13,12.7,12.3,11.9,11.5,11.1
Armenia,19.8,18.8,17.9,17,16.1,15.3,14.6,13.8,13.2,12.6
Antigua and Barbuda,9.8,9.2,8.8,8.2,7.7,7.2,6.8,6.4,6.1,5.8
Australia,4.7,4.5,4.4,4.2,4.1,3.8,3.6,3.4,3.2,3
Austria,4,3.8,3.8,3.7,3.6,3.4,3.3,3.2,3,2.9
Azerbaijan,41.5,39.3,37.3,35.5,33.9,32.5,31.2,30,28.9,27.9
Burundi,76.2,72.7,69.3,66.4,63.8,61.6,59.5,57.6,55.8,54.1
Belgium,4,3.9,3.8,3.7,3.6,3.5,3.5,3.4,3.4,3.3
Benin,76.9,75.2,73.7,72.3,71,69.8,68.5,67.2,65.7,64.2
Burkina Faso,82.7,79.2,75.8,72.5,69.7,67.3,65.4,63.7,62.2,60.9
Bangladesh,48.4,45.9,43.6,41.3,39.2,37.2,35.3,33.5,32.1,30.7
Bulgaria,12.9,12.3,11.8,11.5,11.2,10.9,10.5,10.1,9.7,9.3
Bahrain,9,8.5,8.1,7.6,7.1,6.7,6.3,5.9,5.6,5.3
"Bahamas, The",12.5,12.2,11.9,11.7,11.4,11.1,10.9,10.5,10.2,9.9
Bosnia and Herzegovina,7.2,7.1,7,6.7,6.4,6.2,5.9,5.6,5.4,5.1
Belarus,6.8,6.2,5.6,5.1,4.7,4.3,4,3.8,3.5,3.4
Belize,18,17.6,17.2,16.7,16.3,15.9,15.5,15.1,14.6,14.2
Bolivia,44.4,42.2,40.2,38.4,36.8,35.3,34,32.8,31.7,30.6
Brazil,18.2,17.1,16.2,15.4,14.8,14.4,14.3,14.3,14.4,14.6
Barbados,14.9,14.5,14.2,13.9,13.6,13.3,13,12.7,12.3,12
Brunei Darussalam,7.3,7.3,7.4,7.5,7.7,7.8,8.1,8.3,8.5,8.6
Bhutan,42.8,40.4,38.2,36.1,34.1,32.3,30.8,29.5,28.3,27.2
Botswana,43.8,45.5,45.3,42.3,39.8,39.9,38.2,36.4,35.6,34.8
Central African Republic,108.1,106.9,105.5,103.6,101.7,99.7,97.7,96.1,93.5,91.5
Canada,5.2,5.1,5,5,4.9,4.7,4.7,4.6,4.4,4.3
Central Europe and the Baltics,8.8,8.2,7.7,7.2,6.7,6.4,6.1,5.9,5.8,5.6
Switzerland,4.2,4.1,4,3.9,3.9,3.8,3.7,3.6,3.5,3.4
Chile,7.6,7.6,7.6,7.5,7.6,7.5,7.4,7.3,7.2,7
China,18.7,17.2,15.8,14.6,13.5,12.5,11.5,10.6,9.8,9.2
Cote d'Ivoire,86.7,84.1,81.3,79,76.9,75,72.8,70.6,68.5,66.6
Cameroon,75.3,73.1,70.8,68.8,66.2,64.4,62.4,60.4,58.6,57.1
"Congo, Rep.",57.4,53.1,49,45.3,42.2,39.6,37.6,35.9,34.4,33.2
Colombia,17.8,17.3,16.9,16.4,15.9,15.4,14.9,14.5,14.1,13.6
Comoros,69.2,67.9,66.4,64.6,63.1,61.3,59.8,58.2,56.6,55.1
Cabo Verde,23.4,23.6,23.6,23.6,23.3,22.9,22.4,21.9,21.3,20.7
Costa Rica,8.9,8.9,8.9,8.9,8.9,8.8,8.8,8.7,8.6,8.5
Caribbean small states,20.4,20,19.6,19.2,18.8,18.4,18,17.6,17.2,16.8
Cuba,4.9,4.8,4.7,4.7,4.9,4.8,4.6,4.4,4.1,4
Cyprus,3.7,3.5,3.3,3.1,3,2.9,2.8,2.7,2.6,2.5
Czech Republic,4.2,3.9,3.8,3.6,3.4,3.2,3.2,3,2.9,2.8
Germany,3.8,3.7,3.6,3.6,3.5,3.4,3.3,3.3,3.2,3.1
Djibouti,69.4,67.5,65.7,63.9,62.2,60.5,58.9,57.4,55.8,54.2
Dominica,14.4,14.9,15.5,16.3,17.2,17.9,18.7,19.3,19.5,19.6
Denmark,3.9,3.7,3.6,3.5,3.3,3.2,3.2,3.1,3,2.9
Dominican Republic,29.6,29.1,28.7,28.3,27.9,27.5,27.1,26.7,26.2,25.7
Algeria,27.6,26.4,25.3,24.3,23.5,22.8,22.4,22.1,22,21.9
East Asia & Pacific (developing only),23.6,22.4,21.4,20.2,19.2,18.2,17.3,16.4,15.6,14.9
East Asia & Pacific (all income levels),22.7,21.5,20.4,19.2,18.2,17.3,16.4,15.5,14.8,14.2
Europe & Central Asia (developing only),26.3,25,23.8,22.6,21.6,20.7,19.9,19.2,18.5,17.8
Europe & Central Asia (all income levels),14,13.4,12.8,12.3,11.8,11.3,10.9,10.5,10.1,9.7
Ecuador,23.7,23.1,22.5,21.9,21.3,20.7,20.1,19.5,19,18.4
"Egypt, Arab Rep.",28.1,27.1,26.1,25.1,24.3,23.4,22.6,21.8,21,20.3
Euro area,4.1,3.9,3.8,3.7,3.6,3.6,3.5,3.5,3.4,3.3
Eritrea,45.4,43.7,42.1,40.7,39.4,38.2,37,36,35,34.1
Spain,4.6,4.4,4.2,4.1,3.9,3.8,3.7,3.7,3.6,3.5
Estonia,5.3,4.8,4.4,4,3.6,3.2,2.9,2.7,2.5,2.3
Ethiopia,65.3,61,57.1,53.6,50.8,48.3,46.2,44.5,42.9,41.4
European Union,5,4.8,4.6,4.5,4.3,4.2,4,4,3.8,3.7
Fragile and conflict affected situations,70.1,68.2,66.8,64.7,63.5,61.4,59.7,58.2,56.8,55.4
Finland,2.9,2.9,2.7,2.6,2.5,2.4,2.2,2.1,2,1.9
Fiji,20.2,20.3,20.3,20.3,20.3,20.1,20,19.7,19.4,19.1
France,3.7,3.6,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.5
"Micronesia, Fed. Sts.",36.6,35.7,34.7,33.8,32.9,32,31.1,30.2,29.4,28.6
Gabon,49,47.4,45.7,44.2,42.8,41.3,39.7,38,37,36.1
United Kingdom,5,4.9,4.7,4.6,4.4,4.2,4.1,3.9,3.7,3.5
Georgia,20.2,18.6,17.2,16,14.9,13.8,12.8,12,11.3,10.6
Ghana,55.6,54.4,53.1,51.7,50.2,48.6,47,45.5,44.2,42.8
Guinea,81.9,79,76.3,73.7,71.2,68.9,66.8,64.7,62.8,61
"Gambia, The",55.6,54.5,53.6,52.6,51.7,50.9,50.1,49.4,48.6,47.9
Guinea-Bissau,86.7,83.3,79.9,76.6,73.4,70.3,67.4,64.8,62.4,60.3
Equatorial Guinea,89,86.3,83.7,81.2,78.9,76.6,74.3,72.2,70.3,68.2
Greece,4.6,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6
Grenada,12.3,12.1,12,12,11.9,11.8,11.5,11.4,11.1,10.8
Guatemala,32.3,31.2,30.2,29.3,28.4,27.5,26.6,25.9,25.1,24.3
Guyana,34.1,33.9,33.8,33.7,33.5,33.5,33.3,33,32.6,32
High income,7.4,7.2,6.9,6.7,6.6,6.4,6.3,6.1,6,5.8
Honduras,24.1,23.2,22.3,21.4,20.7,19.9,19.2,18.6,18,17.4
Heavily indebted poor countries (HIPC),72.8,69.9,67.2,64.7,62.8,60.3,58.2,56.5,54.8,53.3
Croatia,5.6,5.3,5,4.8,4.6,4.3,4.1,4,3.8,3.6
Haiti,64.1,62.7,61.3,60,85.5,57.5,56.2,54.8,53.5,52.2
Hungary,6.8,6.5,6.2,5.9,5.7,5.5,5.4,5.4,5.3,5.3
Indonesia,32.1,30.9,29.7,28.5,27.4,26.3,25.3,24.4,23.6,22.8
India,53.9,51.9,50,48.2,46.3,44.4,42.6,40.9,39.3,37.9
Ireland,4.1,3.9,3.8,3.6,3.5,3.4,3.4,3.2,3.1,3
"Iran, Islamic Rep.",20.5,19.4,18.3,17.3,16.4,15.7,15.1,14.5,13.9,13.4
Iraq,32.4,31.8,31.2,30.6,30,29.3,28.7,27.9,27.2,26.5
Iceland,2.3,2.2,2.1,1.9,1.9,1.8,1.7,1.6,1.6,1.6
Israel,4.3,4.1,3.9,3.8,3.7,3.5,3.4,3.3,3.3,3.2
Italy,3.7,3.6,3.5,3.5,3.4,3.3,3.2,3.1,3,2.9
Jamaica,16.7,16.5,16.2,15.9,15.5,15.1,14.8,14.4,13.9,13.5
Jordan,19.9,19.3,18.8,18.3,17.8,17.3,16.8,16.3,15.8,15.4
Japan,2.7,2.6,2.5,2.4,2.4,2.3,2.2,2.1,2.1,2
Kazakhstan,26.8,24.8,23,21.1,19.3,17.5,16,14.6,13.5,12.6
Kenya,51.8,49.5,46.2,44.3,42.4,40.3,39.2,38,36.6,35.5
