district,Year2017,Year2016,Year2015,Year2014,Year2013,Year2012,Year2011,Year2010,Year2009,Year2008
北京,28000.35,25669.13,23014.59,21330.83,19800.81,17879.4,16251.93,14113.58,12153.03,11115
天津,18595.38,17885.39,16538.19,15726.93,14442.01,12893.88,11307.28,9224.46,7521.85,6719.01
河北,35964,32070.45,29806.11,29421.15,28442.95,26575.01,24515.76,20394.26,17235.48,16011.97
山西,14973.51,13050.41,12766.49,12761.49,12665.25,12112.83,11237.55,9200.86,7358.31,7315.4
内蒙古,16103.17,18128.1,17831.51,17770.19,16916.5,15880.58,14359.88,11672,9740.25,8496.2
辽宁,23942,22246.9,28669.02,28626.58,27213.22,24846.43,22226.7,18457.27,15212.49,13668.58
吉林,15288.94,14776.8,14063.13,13803.14,13046.4,11939.24,10568.83,8667.58,7278.75,6426.1
黑龙江,16199.88,15386.09,15083.67,15039.38,14454.91,13691.58,12582,10368.6,8587,8314.37
上海,30133.86,28178.65,25123.45,23567.7,21818.15,20181.72,19195.69,17165.98,15046.45,14069.86
江苏,85900.94,77388.28,70116.38,65088.32,59753.37,54058.22,49110.27,41425.48,34457.3,30981.98
浙江,51768.26,47251.36,42886.49,40173.03,37756.59,34665.33,32318.85,27722.31,22990.35,21462.69
安徽,27518.67,24407.62,22005.63,20848.75,19229.34,17212.05,15300.65,12359.33,10062.82,8851.66
福建,32298.28,28810.58,25979.82,24055.76,21868.49,19701.78,17560.18,14737.12,12236.53,10823.01
江西,20818.5,18499,16723.78,15714.63,14410.19,12948.88,11702.82,9451.26,7655.18,6971.05
山东,72678.18,68024.49,63002.33,59426.59,55230.32,50013.24,45361.85,39169.92,33896.65,30933.28
河南,44988.16,40471.79,37002.16,34938.24,32191.3,29599.31,26931.03,23092.36,19480.46,18018.53
湖北,36522.95,32665.38,29550.19,27379.22,24791.83,22250.45,19632.26,15967.61,12961.1,11328.92
湖南,34590.56,31551.37,28902.21,27037.32,24621.67,22154.23,19669.56,16037.96,13059.69,11555
广东,89879.23,80854.91,72812.55,67809.85,62474.79,57067.92,53210.28,46013.06,39482.56,36796.71
广西,20396.25,18317.64,16803.12,15672.89,14449.9,13035.1,11720.87,9569.85,7759.16,7021
海南,4462.54,4053.2,3702.76,3500.72,3177.56,2855.54,2522.66,2064.5,1654.21,1503.06
重庆,19500.27,17740.59,15717.27,14262.6,12783.26,11409.6,10011.37,7925.58,6530.01,5793.66
四川,36980.22,32934.54,30053.1,28536.66,26392.07,23872.8,21026.68,17185.48,14151.28,12601.23
贵州,13540.83,11776.73,10502.56,9266.39,8086.86,6852.2,5701.84,4602.16,3912.68,3561.56
云南,16531.34,14788.42,13619.17,12814.59,11832.31,10309.47,8893.12,7224.18,6169.75,5692.12
西藏,1310.63,1151.41,1026.39,920.83,815.67,701.03,605.83,507.46,441.36,394.85
陕西,21898.81,19399.59,18021.86,17689.94,16205.45,14453.68,12512.3,10123.48,8169.8,7314.58
甘肃,7677,7200.37,6790.32,6836.82,6330.69,5650.2,5020.37,4120.75,3387.56,3166.82
青海,2642.8,2572.49,2417.05,2303.32,2122.06,1893.54,1670.44,1350.43,1081.27,1018.62
宁夏,3453.93,3168.59,2911.77,2752.1,2577.57,2341.29,2102.21,1689.65,1353.31,1203.92
新疆,10920.09,9649.7,9324.8,9273.46,8443.84,7505.31,6610.05,5437.47,4277.05,4183.21
