Country_name,year2005,year2010,year2015,year2018
Afghanistan,38.4,44.1,51.7,55.7
Africa,31.2,35.4,40.3,43.4
Albania,112.4,107.3,106.7,107.1
Algeria,14,15.2,16.7,17.6
American Samoa,295.6,278.2,277.7,278.4
Americas,22.9,24.2,25.5,26.2
Andorra,167.8,179.7,166,163.7
Angola,15.7,18.7,22.3,24.7
Anguilla,140.4,153,162.3,167.2
Antigua and Barbuda,202.8,215.1,227.1,234.2
Argentina,14.3,15.1,15.9,16.3
Armenia,104.7,101.1,102.5,103.1
Aruba,555.7,564.8,579.7,587.1
Asia,127.7,135.2,142.4,146.5
Australia,2.6,2.9,3.1,3.2
Australia and New Zealand,3.1,3.3,3.6,3.7
Austria,100.2,102.1,105.3,106.2
Azerbaijan,103.3,109.3,116.4,120.1
Bahamas,32.9,36,38.6,39.9
Bahrain,1170,1632.7,1805.1,2061.8
Bangladesh,1101.9,1168.8,1238.4,1278.1
Barbados,637.2,650.2,661,666
Belarus,47.4,46.7,46.7,46.6
Belgium,348.3,361.3,372.8,379.7
Belize,12.4,14.1,15.8,16.8
Benin,70.8,81.6,93.8,101.9
Bermuda,1302.6,1279.1,1240.1,1221.4
Bhutan,17.2,19.1,20.7,21.4
Bolivia (Plurin. State of),8.4,9.2,9.9,10.4
Bosnia and Herzegovina,74.1,73,69.3,68.7
Botswana,3.3,3.6,3.9,4.1
Brazil,22.4,23.5,24.6,25.2
British Virgin Islands,154.5,181.5,200.8,211.5
Brunei Darussalam,69.3,73.7,79.2,82.4
Bulgaria,70.8,68.2,66.1,64.8
Burkina Faso,49.1,57,66.2,72.2
Burundi,289.1,341.4,397.2,436.8
Cabo Verde,117.8,124.7,132.2,137.3
Cambodia,75.2,81.1,87.9,92
Cameroon,36.9,42.2,48.3,52.2
Canada,3.6,3.8,4,4.1
Caribbean,177.5,184.6,191.6,195.4
Cayman Islands,202.6,231.3,249.8,259.8
Ce dvoire,57.7,64.2,72.7,78.3
Central African Republic,6.6,7.1,7.3,7.6
Central America,60.4,65.5,70.4,73.2
Central Asia,15,16.1,17.5,18.3
Chad,8,9.4,11.1,12.2
Channel Islands,812.1,839.9,861.9,874.1
Chile,21.7,22.9,23.9,24.5
China,140.8,144.8,148.8,150.7
"China, Hong Kong SAR",6502.6,6690.7,6900.7,7075.1
"China, Macao SAR",16139.1,17958.8,20098.4,21151.1
Colombia,39,41.4,43.5,44.6
Comoros,328.7,370.6,417.7,447.3
Congo,10.9,12.8,14.6,15.8
Cook Islands,82.1,77.3,72.7,72.5
Costa Rica,83.2,89,94.2,97
Croatia,78.2,77.3,75.7,74.4
Cuba,106,106.5,107.7,107.9
Curao,291.4,332.5,355.9,363.9
Cyprus,111.2,120.4,125.6,128.7
Czechia,132.8,136.4,137.3,137.6
Dem. People's Rep. Korea,198.5,204.2,209.6,212.7
Dem. Rep. of the Congo,24.2,28.5,33.6,37.1
Denmark,127.8,130.9,134.1,135.6
Djibouti,33.8,36.7,40,41.9
Dominica,94.2,95.3,97.5,99.1
Dominican Republic,191.2,204.8,217.9,225.2
Eastern Africa,45.1,52,59.9,65
Eastern Asia,134.5,138,141.4,143.1
Eastern Europe,16.5,16.3,16.2,16.2
Ecuador,55.3,60.1,65,67.9
Egypt,77.1,84.5,94.2,99.8
El Salvador,291,297.5,304.7,309.4
Equatorial Guinea,27,33.9,41.9,46.8
Eritrea,39.3,43.5,48,51.4
Estonia,32,31.4,31,30.8
Eswatini,64.3,69.9,23.8,80.9
Ethiopia,76.7,87.7,99.9,107.5
Europe,33,33.3,33.5,33.6
Falkland Islands (Malvinas),0.2,0.2,0.2,0.2
Faroe Islands,34.6,34.8,35.1,35.5
Fiji,45,47.1,48.8,49.9
Finland,17.3,17.7,18,18.2
France,111.8,115.1,117.7,119.1
French Guiana,2.5,2.8,3.3,3.5
French Polynesia,69.6,73.2,75.9,78.1
Gabon,5.4,6.4,7.5,8
Gambia,142.7,167.2,195.4,213.8
Georgia,64.6,60.9,56.9,56.2
Germany,234.3,232.1,234.4,236.1
Ghana,94.7,107.7,121.2,129.5
Gibraltar,3208.5,3318.9,3422.8,3473.3
Greece,87.7,88.8,87,86.4
Greenland,0.1,0.1,0.1,0.1
Grenada,302.8,307.9,314.2,318.6
Guadeloupe,260.1,266.7,266.5,265.8
Guam,293.3,295.3,299.6,306.9
Guatemala,122.2,136.5,151.7,160.9
Guinea,39.4,43.9,49.2,53.1
Guinea-Bissau,49.1,55.3,63,67.8
Guyana,3.8,3.8,3.9,4
Haiti,336.1,362.8,388.6,403.2
Holy See,1813.6,1804.5,1825,1820.5
Honduras,65.9,73.2,80.1,84.2
Hungary,111.4,109.7,108.1,107
Iceland,2.9,3.2,3.3,3.4
India,384.8,414,440.3,455.4
Indonesia,125.1,133.9,142.5,147.3
Iran (Islamic Republic of),43.2,45.8,48.7,50.4
Iraq,62.2,70.8,83.2,90.6
Ireland,61.2,67.2,68.2,69.7
Isle of Man,133.5,140.5,145.9,148.8
Israel,305.1,343.2,372.7,390.6
Italy,199.9,203.1,202.3,201.6
Jamaica,253.4,260.1,265.2,267.7
Jordan,64.4,80.9,103.2,111.6
Kazakhstan,5.8,6.1,6.6,6.8
Kenya,63.3,72.7,83,89.5
Kiribati,114,126.7,138.8,146.2
Kuwait,127.8,168.2,220.9,235.5
Kyrgyzstan,26.5,28.3,30.6,32
Lao People's Dem. Rep.,24.9,27.1,28.9,30.2
Latin America & the Caribbean,27.9,29.7,31.4,32.4
Latvia,36.2,34.1,32,31
Lebanon,389.7,424,572,595.7
Lesotho,64.2,67.2,71.6,74.5
Liberia,33.9,41,46.7,50.4
Libya,3.3,3.5,3.5,3.7
Liechtenstein,217.8,225,233.8,238.5
Lithuania,53.4,49.8,46.8,45.9
Luxembourg,176.8,196.1,218.8,227.9
Madagascar,31.5,36.4,41.7,45.1
Malawi,138.3,160.9,186.4,203.3
Malaysia,78.1,85.6,93.5,97.5
Maldives,1062.8,1215,1394.7,1480.9
Mali,10.5,12.4,14.3,15.7
Malta,1271.2,1300.3,1336.3,1350.3
Marshall Islands,289.2,291.3,294.4,295.4
Martinique,374.6,372.6,364,363.3
Mauritania,3,3.5,4.1,4.4
Mauritius,602,614.8,620.4,624.8
Melanesia,15.2,17,18.8,19.9
Mexico,55.8,60.4,64.8,67.3
Micronesia,158.6,158.7,163.7,167.8
Micronesia (Fed. States of),151.7,148,149.2,151.8
Middle Africa,17.2,20.2,23.7,25.9
Monaco,22679.9,24895.3,25709.4,26105.4
Mongolia,1.6,1.7,1.9,2
Montenegro,45.8,46.4,46.7,46.8
Montserrat,47.8,49.4,51.2,52
Morocco,68.4,72.6,78,81.1
Mozambique,26.6,30.8,35.6,38.8
Myanmar,74.2,76.8,80.2,82.4
Namibia,2.5,2.6,2.9,3.1
Nauru,505.7,501.3,563,565.6
Nepal,178.9,188.5,199.9,206.7
Netherlands,485.4,494.7,502.3,506.7
New Caledonia,12.7,13.7,14.7,15.3
New Zealand,15.7,16.6,17.5,18
Nicaragua,44.7,47.7,50.5,52.2
Niger,10.8,13,15.7,17.6
Nigeria,152.6,174.1,198.9,215.1
Niue,6.5,6.3,6.3,6.2
Northern Africa,24.2,26.3,29,30.6
Northern America,17.6,18.4,19.1,19.5
Northern Europe,56.6,58.9,60.6,61.5
Northern Mariana Islands,138.6,118.3,119.2,120
Norway,12.7,13.4,14.2,14.7
Oceania,4,4.3,4.7,4.9
Oman,8.1,9.8,13.6,15.6
Pakistan,199.7,221.3,245.7,260.5
Palau,43.3,44.5,46.3,47.7
Panama,44.8,49,53.4,56
Papua New Guinea,13.9,15.7,17.5,18.6
Paraguay,14.6,15.6,16.7,17.4
Peru,21.6,22.9,24.5,25.4
Philippines,289.3,314.3,341.1,357.2
Poland,125.3,125.1,125,124.4
Polynesia,79.4,81.5,83.7,85.5
Portugal,115.4,116.3,113.8,112.4
Puerto Rico,424.5,419,414.2,412.5
Qatar,74.5,153.3,213.7,232.1
Republic of Korea,501,509.6,520.4,526.2
Republic of Moldova,126.6,124.3,123.8,123
Rnion,316.6,332.2,345.3,353.3
Romania,93.1,88.8,86.4,85.1
Russian Federation,8.8,8.7,8.8,8.8
Rwanda,364.5,415.4,471.4,506.7
Saint Helena,11,10.7,10.3,10.4
Saint Kitts and Nevis,187,197.9,208.8,214.8
Saint Lucia,268.4,282.9,290.5,294.5
Saint Pierre and Miquelon,27.2,27.3,27.3,27.6
Saint Vincent & Grenadines,278.8,280.3,280.7,282.6
Samoa,63.6,65.8,68.5,69.9
San Marino,487.3,518.5,549.3,559.3
Sao Tome and Principe,162.1,182.1,203.7,217.5
Saudi Arabia,11.1,12.8,14.7,15.6
Senegal,58.4,67.1,77.8,84.6
Serbia,105.4,103.2,101.2,100.2
Seychelles,192.9,198.7,203.8,207
Sierra Leone,78.4,89.5,100.3,107
Singapore,6415.8,7248.9,7907.5,8274.1
Sint Maarten (Dutch part),956.8,974.2,1139.7,1192.7
Slovakia,112.3,112.4,113.1,113.3
Slovenia,99.1,101.5,103,103.3
Solomon Islands,16.8,18.9,21,22.3
Somalia,16.6,19.2,22.2,24.2
South Africa,40.2,42.5,45.6,47.3
South America,21.4,22.6,23.8,24.5
South Sudan,13.3,16.5,19.4,21.1
South-central Asia,159,171.3,183.2,190.1
South-eastern Asia,129.4,137.6,146.2,151
Southern Africa,21,22.3,23.9,24.9
Southern Asia,247.4,266.5,284.9,295.5
Southern Europe,116.1,118.9,117.7,117.3
Spain,88.3,93.8,93,93
Sri Lanka,311.3,322.1,330.3,334.1
State of Palestine,594,675.6,774.6,839.3
Sub-Saharan Africa,33.7,38.6,44.3,48
Sudan,17.5,19.5,3.5,23.5
Suriname,3.2,3.4,76.7,3.6
Sweden,22,22.9,210.5,24.3
Switzerland,187.5,198.2,102,216.2
Syrian Arab Republic,99.6,114.5,61.1,99.6
Tajikistan,49,54.6,134.4,65.1
TFYR of Macedonia,81.7,82.1,83.5,82.7
Thailand,128.1,131.6,82.4,135.4
Timor-Leste,69,74.6,136.4,89
Togo,104.5,119.6,125.2,146.9
Tokelau,120.8,114,147.7,131.9
Tonga,140.3,144.6,265.1,151.4
Trinidad and Tobago,252.8,258.9,72.6,267.6
Tunisia,65,68.5,101.7,75
Turkey,88.2,94,11.8,106.4
Turkmenistan,10.1,10.8,36.1,12.5
Turks and Caicos Islands,27.8,32.6,366.7,37.9
Tuvalu,334.2,351,200.9,376.2
Uganda,142.9,169.7,77.1,221.6
Ukraine,80.9,79,109.5,76
United Arab Emirates,54.8,98.9,270.3,114.1
United Kingdom,249.2,261.7,60.8,275.2
United Rep. of Tanzania,44.5,52,35,66.7
United States of America,32.3,33.7,299.9,35.7
United States Virgin Islands,308,303.3,19.6,299.8
Uruguay,19,19.3,72.8,19.8
Uzbekistan,62.3,67.2,21.7,76.1
Vanuatu,17.2,19.4,35.3,23.1
Venezuela (Boliv. Rep. of),30.4,32.9,301.8,36.7
Viet Nam,271.9,285.3,86.2,311.2
Wallis and Futuna Islands,104.1,95.9,2,83.5
Western Africa,44.3,50.8,58.1,63
Western Asia,42.8,48.4,53.7,56.7
Western Europe,171.5,173.6,177,178.9
Western Sahara,1.6,1.8,51,2.1
Yemen,39,44.7,21.7,54.8
Zambia,16.2,18.6,40.8,23.7
Zimbabwe,33.4,36.4,30.2,43.7
