Country_name,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Aruba,2.48 ,3.08 ,4.00 ,5.86 ,6.85 ,7.32 ,7.66 ,6.91 ,7.58 ,8.59 ,10.29 ,12.14 
Afghanistan,2.80 ,2.70 ,2.62 ,2.53 ,2.41 ,2.21 ,2.21 ,2.33 ,2.25 ,2.19 ,2.30 ,2.49 
Angola,2.54 ,2.54 ,2.56 ,2.58 ,2.60 ,2.60 ,2.55 ,2.49 ,2.43 ,2.38 ,2.32 ,2.31 
Albania,5.41 ,5.46 ,5.19 ,5.20 ,5.30 ,5.40 ,5.50 ,6.45 ,7.07 ,8.52 ,10.67 ,12.54 
Andorra,,,,,,,,,,,,
Arab World,3.51 ,3.61 ,3.65 ,3.67 ,3.60 ,3.55 ,3.61 ,3.83 ,4.03 ,4.13 ,4.16 ,4.32 
United Arab Emirates,3.43 ,2.28 ,1.43 ,1.49 ,1.44 ,1.21 ,1.19 ,1.05 ,1.10 ,0.92 ,0.75 ,1.02 
Argentina,5.58 ,6.27 ,7.02 ,7.66 ,8.21 ,8.61 ,9.05 ,9.55 ,9.91 ,10.11 ,10.40 ,10.93 
Armenia,6.35 ,5.43 ,5.56 ,5.80 ,5.96 ,5.41 ,5.63 ,8.38 ,10.02 ,11.90 ,10.99 ,10.91 
American Samoa,,,,,,,,,,,,
Antigua and Barbuda,4.08 ,3.94 ,4.00 ,4.38 ,5.20 ,5.98 ,7.47 ,7.79 ,6.58 ,6.72 ,6.67 ,6.58 
Australia,8.58 ,8.59 ,8.22 ,8.77 ,9.61 ,10.24 ,11.06 ,11.87 ,12.34 ,12.89 ,13.45 ,14.98 
Austria,12.15 ,13.09 ,13.97 ,14.73 ,15.20 ,14.14 ,14.92 ,15.19 ,15.39 ,16.20 ,17.80 ,18.84 
Azerbaijan,5.38 ,5.12 ,5.19 ,5.11 ,5.08 ,4.65 ,4.64 ,5.31 ,5.85 ,6.59 ,5.90 ,5.74 
Burundi,2.95 ,2.99 ,3.00 ,3.30 ,3.26 ,3.20 ,3.09 ,2.96 ,3.03 ,2.87 ,2.66 ,2.50 
Belgium,11.87 ,12.61 ,13.44 ,14.05 ,14.45 ,13.76 ,14.99 ,15.93 ,16.87 ,17.29 ,17.33 ,18.14 
Benin,5.02 ,4.61 ,4.65 ,4.59 ,4.36 ,4.04 ,3.75 ,3.48 ,3.26 ,3.16 ,3.23 ,3.23 
Burkina Faso,2.33 ,2.54 ,2.77 ,2.98 ,3.18 ,3.33 ,3.28 ,3.05 ,2.76 ,2.57 ,2.47 ,2.41 
Bangladesh,2.68 ,2.65 ,2.74 ,3.02 ,3.05 ,3.00 ,3.12 ,3.37 ,3.83 ,4.26 ,4.69 ,5.04 
Bulgaria,7.58 ,8.42 ,9.62 ,10.86 ,11.85 ,11.33 ,13.14 ,15.10 ,16.59 ,17.35 ,18.12 ,20.08 
Bahrain,2.99 ,1.79 ,2.50 ,2.41 ,2.06 ,2.63 ,2.18 ,2.40 ,2.45 ,2.24 ,2.08 ,2.32 
